2022-08-22,"TOMMY GUN'S (MOUNT PEARL) MOUNT PEARL, NL",42.88
2022-08-22,"ROCKY MOUNTAIN CHOCOLATE ST. JOHN'S, NL",11.50
2022-08-22,"PARK INDIGO - NO CNL005 ST. JOHN'S, NL",9.00
2022-08-22,"THE HEALTHY VIBE ST. JOHN'S, NL",14.93
2022-08-22,"IMAGE FUSION INC MOUNT PEARL, NL",142.07
2022-08-19,"CDN TIRE STORE #00333 MOUNT PEARL, NL",27.58
2022-08-18,"Amazon.ca Prime Member amazon.ca/pri, BC",113.85
2022-08-18,"STAPLES.CA MISSISSAUGA, ON",46.22
2022-08-18,"THE HOME DEPOT #7077 ST JOHNS, NL",51.72
2022-08-17,"DOMINION BLACKMARSH ST. JOHN'S, NL",33.74
2022-08-17,"QUESADA BURRITOS & TACOS ST. JOHN'S, NL",33.17
2022-08-16,"WWW.NFMUSHROOMS.COM LIVINGSTONE S, NL",19.25
2022-08-15,"SQ *SAUCY MOUTH, INC. Mount Pearl, NL",72.74
2022-08-15,"LANDWASH BREWERY MOUNT PEARL, NL",21.28
2022-08-15,"N ATLANTIC PETROLEUM 1 MOUNT PEARL, NL",120.40
2022-08-15,"GREENFARMNL MT. PEARL, NL",20.25
2022-08-15,"MADROCK CAFE AND CRAFTS L BAY ROBERTS, NL",7.93
2022-08-15,"POWELL'S SUPERMARKET B BAY ROBERTS, NL",83.38
2022-08-15,"OUTSETA LLC OUTSETA.COM, MA 29.00 USD @ 1.312758",38.07
2022-08-15,"MARY BROWN'S WATER ST. ST. JOHN'S, NL",24.93
2022-08-15,"SMOKES POUTINERIE ST. JOHN'S, NL",25.64
2022-08-15,"FREAK LUNCHBOX ST. JOHN'S, NL",23.81
2022-08-15,"PARK INDIGO - NO CNL002 ST. JOHN'S, NL",10.00
2022-08-15,"AIR CAN* 0144228607350 AIRCANADA.COM, MB",115.00
2022-08-15,"AIR CAN* 0142155555634 AIRCANADA.COM, MB",42.10
2022-08-12,"LYNX AIR ECOMM CALGARY, AB",248.28
2022-08-10,"PC EXPRESS 0935 ST. JOHN'S, NL",372.64
2022-08-10,"CDN TIRE STORE #00333 MOUNT PEARL, NL",54.82
2022-08-09,"WWW.NFMUSHROOMS.COM LIVINGSTONE S, NL",19.25
2022-08-09,"CDN TIRE STORE #00217 CARBONEAR, NL",41.41
2022-08-09,"AIR CAN* 0142155555634 AIRCANADA.COM, MB",98.59
2022-08-09,"AIR CAN* 0144228430039 AIRCANADA.COM, MB",47.15
2022-08-09,"AIR CAN* 0144228430040 AIRCANADA.COM, MB",47.15
2022-08-08,"GREENFARMNL MT. PEARL, NL",20.25
2022-08-08,"SUN SUSHI - KENMOUNT ( ST. JOHN'S, NL",59.22
2022-08-08,"APPLE.COM/BILL 866-712-7753, ON",6.89
2022-08-08,"COBEQUID PASS TOLL HIG HALIFAX, NS",4.00
2022-08-05,"PETSMART 3059 ST. JOHN'S, NL",49.13
2022-08-05,"TOPSAIL ROAD ESSO ST. JOHN S, NL",119.85
2022-08-04,"SHOPPERS DRUG MART #11 ST. JOHN'S, NL",81.65
2022-08-04,"SHOPPERS DRUG MART 118 ST. JOHN'S, NL",30.45
2022-08-03,"BORDERFREE 3760 2122993555, ON",250.55
2022-08-03,"Amazon Web Services www.amazon.ca, ON",3.11
2022-08-03,"BC.HEY EMAIL 5270744 3122815333, IL 11.50 USD @ 1.320869",15.19
2022-08-02,"THE HALIFAX HERALD 902-426-2811, NS",9.19
2022-08-02,"DIGITALOCEAN.COM SAINT JOHN, NB 8.26 USD @ 1.318401",10.89
2022-08-02,Spotify P1CE28CEB6 Stockholm,11.49
2022-08-02,"LINODE . AKAMAI 6093807100, PA 8.05 USD @ 1.318012",10.61
2022-08-02,"PC EXPRESS 0935 ST. JOHN'S, NL",263.37
2022-08-02,"DISNEY PLUS 180-07271800, CA",13.79
